YEAR,MO,DY,T2M_MAX,T2M_MIN,T2M,PRECTOTCORR
2000,4,30,29.41,25.22,26.95,4.34
2000,5,1,28.96,25.74,26.99,3.01
2000,5,2,29.55,25.23,27.03,1.43
2000,5,3,30.35,24.67,27.34,1.33
2000,5,4,27.87,25.76,26.63,3.9
2000,5,5,28.55,25.36,26.61,10.37
2000,5,6,29.1,25.15,26.39,7.43
2000,5,7,29.28,24.61,26.42,14.09
2000,5,8,28.72,25.1,26.44,1.04
2000,5,9,29.1,25.01,26.65,2.41
2000,5,10,27.76,25.32,26.08,3.1
2000,5,11,29.66,25.04,26.88,3.8
2000,5,12,29.11,25.03,26.86,7.27
2000,5,13,28.85,25.17,26.89,6.14
2000,5,14,28.01,25.29,26.27,2.8
2000,5,15,26.15,24.98,25.59,3.15
2000,5,16,28.59,25.25,26.59,2.72
2000,5,17,27.44,24.64,25.91,7.66
2000,5,18,27.71,25.33,26.22,11.54
2000,5,19,28.29,24.99,26.16,5.26
2000,5,20,27.14,24.91,25.71,2.26
2000,5,21,27.97,24.64,25.81,1.17
2000,5,22,28.64,24.51,26.15,1.27
2000,5,23,28.93,24.82,26.27,4.67
2000,5,24,28.47,24.41,25.88,2.14
2000,5,25,27.63,24.82,25.76,1.71
2000,5,26,27.8,24.83,25.97,7.3
2000,5,27,27.01,24.64,25.61,16.72
2000,5,28,27.62,25.18,25.99,13.47
2000,5,29,27.33,24.54,25.59,16.27
2000,5,30,26.55,23.98,25.05,22.48
2000,5,31,25.58,24.4,24.95,12.92
2000,6,1,27.21,23.99,25.39,16.1
2000,6,2,27.17,24.99,25.75,4.46
2000,6,3,26.99,24.56,25.66,4.2
2000,6,4,27.26,24.95,25.76,5.34
2000,6,5,28.2,24.34,25.89,8.82
2000,6,6,26.93,25.12,25.9,24.9
2000,6,7,27.84,25.1,26.13,8.48
2000,6,8,26.43,24.88,25.53,2.89
2000,6,9,25.85,24.67,25.2,7.76
2000,6,10,27.05,24.66,25.7,8.3
2000,6,11,27.42,24.16,25.76,1.04
2000,6,12,27.89,24.68,26.23,1.57
2000,6,13,27.92,25.18,26.17,1.28
2000,6,14,27.47,24.48,25.77,2
2000,6,15,28.67,24.32,26.26,5.21
2000,6,16,27.85,23.63,25.52,18.1
2000,6,17,25.5,23.93,24.63,22.97
2000,6,18,26.6,24,25.01,8.3
2000,6,19,26.45,24.28,25.3,3.24
2000,6,20,27.68,24.29,25.72,2.6
2000,6,21,27.7,24.83,25.88,5.79
2000,6,22,26.05,24.34,25.18,8.86
2000,6,23,26.18,24.4,25.19,15.91
2000,6,24,25.45,23.64,24.48,29.76
2000,6,25,25.07,23.39,24.14,3.9
2000,6,26,25.98,23.46,24.61,5.19
2000,6,27,26.01,23.82,25.01,1.41
2000,6,28,27.77,24.41,25.94,1.18
2000,6,29,27.82,24.33,25.95,2.56
2000,6,30,27.6,24.29,25.65,14.77
2000,7,1,26.15,24.17,24.93,19.87
2000,7,2,27.45,24.06,25.6,3.16
2000,7,3,28,24.04,25.78,2.54
2000,7,4,27.49,24.58,25.81,8.89
2000,7,5,27.34,24.13,25.5,10.52
2000,7,6,27.22,24.22,25.52,5.8
2000,7,7,27.48,24.24,25.61,8.47
2000,7,8,27.78,24.38,25.98,1.61
2000,7,9,27.89,24.47,26.17,3.15
2000,7,10,27.97,24.9,26.25,0.85
2000,7,11,27.04,24.32,25.56,0.31
2000,7,12,27.83,24.48,26.16,0.42
2000,7,13,27.91,24.83,26.21,0.93
2000,7,14,27.84,24.93,26.13,1.95
2000,7,15,27.87,24.29,25.72,1.6
2000,7,16,26.75,24.07,25.37,1.54
2000,7,17,27.53,24.3,25.63,0.85
2000,7,18,28.22,24.24,25.67,1.38
2000,7,19,27.05,24.13,25.31,1.45
2000,7,20,27.01,23.98,25.1,4.73
2000,7,21,27.61,23.32,25.29,5.37
2000,7,22,26.13,23.99,24.95,7.97
2000,7,23,26.98,23.61,24.87,3.52
2000,7,24,27.78,23.88,25.57,7.19
2000,7,25,27.37,24.29,25.5,14.77
2000,7,26,26.36,23.96,24.93,10.27
2000,7,27,26.97,23.79,25.04,11.04
2000,7,28,27.38,23.51,24.91,11.91
2000,7,29,24.98,23.68,24.25,8.23
2000,7,30,25.41,23.43,24.2,1.38
2000,7,31,26.15,23.28,24.53,1.17
2000,8,1,26.22,24.02,24.79,2.51
2000,8,2,27.68,23.26,25.19,4.05
2000,8,3,26.1,23.31,24.5,12.2
2000,8,4,27.6,23.62,25.22,2.3
2000,8,5,26.93,23.76,24.89,3.39
2000,8,6,25.49,23.47,24.29,2.31
2000,8,7,25.95,23.4,24.72,6.51
2000,8,8,27.26,24,25.4,13.35
2000,8,9,26.4,24.05,25.13,4.31
2000,8,10,27.05,24.25,25.58,0.37
2000,8,11,27.32,24.33,25.75,2.55
2000,8,12,27.69,24.35,25.91,6.75
2000,8,13,27.63,24.11,25.51,6.83
2000,8,14,25.76,23.58,24.68,5.1
2000,8,15,27.44,24.22,25.71,2.5
2000,8,16,27.77,24.85,25.99,2.8
2000,8,17,27.25,24.45,25.63,7.84
2000,8,18,28.16,23.67,25.69,2.98
2000,8,19,28.23,24.06,25.97,1.96
2000,8,20,28.32,24.57,26.19,2.16
2000,8,21,28.36,23.75,25.93,2.82
2000,8,22,28.14,24.89,26.32,2.45
2000,8,23,28.34,24.51,25.89,4.63
2000,8,24,28.22,24.07,25.78,2.73
2000,8,25,27.82,24.62,26.05,1.33
2000,8,26,27.66,24.79,25.79,2.12
2000,8,27,26.01,24.73,25.33,8.96
